Species,SpeciesAnal,Site,TwigCodeNoPatrol,BranchCodeNoPatrol,Patrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,TwigCodeUnique,SaplingCodeUnique
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_3CN2_Blue,DRO_Argyrodendron_peralatum_3CN2,D,514.799,20.072,0.038989975,0.030790091,DRO_Argyrodendron_peralatum_3CN2_Blue_D,DRO_Argyrodendron_peralatum_3CN2_D
SP1,Cryptocarya_sp. ,DRO,DRO_Cryptocarya_sp. _3CN2_Blue,DRO_Cryptocarya_sp. _3CN2,D,442.838,20.031,0.045233246,0.030491732,DRO_Cryptocarya_sp. _3CN2_Blue_D,DRO_Cryptocarya_sp. _3CN2_D
SP7,Endiandra_leptodendron,DRO,DRO_Endiandra_leptodendron_4CN2_Blue,DRO_Endiandra_leptodendron_4CN2,D,1773.846,89.461,0.050433352,0.02978413,DRO_Endiandra_leptodendron_4CN2_Blue_D,DRO_Endiandra_leptodendron_4CN2_D
SP4,Haplostichanthus_ramiflorus,DRO,DRO_Haplostichanthus_ramiflorus_5CN2_White,DRO_Haplostichanthus_ramiflorus_5CN2,B,1034.60502,10.49045,0.01013957,0.029774753,DRO_Haplostichanthus_ramiflorus_5CN2_White_B,DRO_Haplostichanthus_ramiflorus_5CN2_B
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_1CN2_Red,DRO_Rockinghamia_angustifolia_1CN2,B,872.56344,25.67853,0.02942884,0.029745248,DRO_Rockinghamia_angustifolia_1CN2_Red_B,DRO_Rockinghamia_angustifolia_1CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_1CN2_Red,DRO_Myristica_globosa_1CN2,B,899.85376,18.03856,0.020046102,0.02949865,DRO_Myristica_globosa_1CN2_Red_B,DRO_Myristica_globosa_1CN2_B
SP4,Haplostichanthus_ramiflorus,DRO,DRO_Haplostichanthus_ramiflorus_3CN2_White,DRO_Haplostichanthus_ramiflorus_3CN2,B,94.86572,3.83787,0.040455815,0.029300654,DRO_Haplostichanthus_ramiflorus_3CN2_White_B,DRO_Haplostichanthus_ramiflorus_3CN2_B
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_4CN2_Blue,KAK_Pometia_pinnata_4CN2,D,725.733,47.749,0.065794169,0.028778377,KAK_Pometia_pinnata_4CN2_Blue_D,KAK_Pometia_pinnata_4CN2_D
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_2CN2_White,DRO_Myristica_globosa_2CN2,B,762.12184,10.84552,0.01423069,0.028387441,DRO_Myristica_globosa_2CN2_White_B,DRO_Myristica_globosa_2CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_5CN2_Red,DRO_Argyrodendron_peralatum_5CN2,B,909.88478,25.65804,0.028199219,0.02821367,DRO_Argyrodendron_peralatum_5CN2_Red_B,DRO_Argyrodendron_peralatum_5CN2_B
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_3CN2_Red,DRO_Rockinghamia_angustifolia_3CN2,B,879.12678,15.80414,0.017977089,0.028043656,DRO_Rockinghamia_angustifolia_3CN2_Red_B,DRO_Rockinghamia_angustifolia_3CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_1CN2_Blue,DRO_Argyrodendron_peralatum_1CN2,B,898.18159,20.99655,0.023376732,0.027819261,DRO_Argyrodendron_peralatum_1CN2_Blue_B,DRO_Argyrodendron_peralatum_1CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_5CN2_White,DRO_Myristica_globosa_5CN2,D,798.64536,32.41921,0.040592748,0.027476047,DRO_Myristica_globosa_5CN2_White_D,DRO_Myristica_globosa_5CN2_D
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_4CN2_Blue,EUC_Acacia_parramattensis_4CN2,D,55.95239,0.08851,0.001581881,0.027157693,EUC_Acacia_parramattensis_4CN2_Blue_D,EUC_Acacia_parramattensis_4CN2_D
SP1,Cryptocarya_sp. ,DRO,DRO_Cryptocarya_sp. _5CN2_Blue,DRO_Cryptocarya_sp. _5CN2,D,883.077,41.618,0.047128393,0.026622957,DRO_Cryptocarya_sp. _5CN2_Blue_D,DRO_Cryptocarya_sp. _5CN2_D
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_1CN2_White,DRO_Argyrodendron_peralatum_1CN2,B,897.34226,23.29347,0.025958289,0.026110386,DRO_Argyrodendron_peralatum_1CN2_White_B,DRO_Argyrodendron_peralatum_1CN2_B
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_3CN2_Blue,DRO_Rockinghamia_angustifolia_3CN2,B,986.12918,23.50375,0.023834352,0.025317608,DRO_Rockinghamia_angustifolia_3CN2_Blue_B,DRO_Rockinghamia_angustifolia_3CN2_B
SP7,Endiandra_leptodendron,DRO,DRO_Endiandra_leptodendron_5CN2_Red,DRO_Endiandra_leptodendron_5CN2,D,1135.2703,45.41616,0.040004711,0.024052567,DRO_Endiandra_leptodendron_5CN2_Red_D,DRO_Endiandra_leptodendron_5CN2_D
SP4,Haplostichanthus_ramiflorus,DRO,DRO_Haplostichanthus_ramiflorus_1CN2_Red,DRO_Haplostichanthus_ramiflorus_1CN2,D,677.986,38.154,0.056275498,0.023950835,DRO_Haplostichanthus_ramiflorus_1CN2_Red_D,DRO_Haplostichanthus_ramiflorus_1CN2_D
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_3CN2_Red,DRO_Myristica_globosa_3CN2,B,936.02884,19.00736,0.020306383,0.023592448,DRO_Myristica_globosa_3CN2_Red_B,DRO_Myristica_globosa_3CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_3CN2_Red,DRO_Argyrodendron_peralatum_3CN2,B,934.49722,25.01269,0.026765933,0.023147704,DRO_Argyrodendron_peralatum_3CN2_Red_B,DRO_Argyrodendron_peralatum_3CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_3CN2_White,DRO_Argyrodendron_peralatum_3CN2,B,1039.31859,29.38017,0.028268685,0.023088773,DRO_Argyrodendron_peralatum_3CN2_White_B,DRO_Argyrodendron_peralatum_3CN2_B
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_5CN2_Blue,KAK_Pometia_pinnata_5CN2,B,1305.38291,110.92687,0.084976499,0.023069138,KAK_Pometia_pinnata_5CN2_Blue_B,KAK_Pometia_pinnata_5CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_5CN2_Blue,DRO_Myristica_globosa_5CN2,B,932.88727,29.54791,0.031673613,0.022590898,DRO_Myristica_globosa_5CN2_Blue_B,DRO_Myristica_globosa_5CN2_B
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_2CN2_Blue,EUC_Acacia_parramattensis_2CN2,D,273.17384,0.6094,0.002230814,0.021751229,EUC_Acacia_parramattensis_2CN2_Blue_D,EUC_Acacia_parramattensis_2CN2_D
SP1,Bursaria_spinosa,EUC,EUC_Bursaria_spinosa_1CN2_Blue,EUC_Bursaria_spinosa_1CN2,D,1.492,0.003,0.002010724,0.020849192,EUC_Bursaria_spinosa_1CN2_Blue_D,EUC_Bursaria_spinosa_1CN2_D
SP1,Pometia_pinnata,KAK,KAK_Pometia_pinnata_1CN2_Blue,KAK_Pometia_pinnata_1CN2,D,1214.227,28.333,0.023334187,0.020475067,KAK_Pometia_pinnata_1CN2_Blue_D,KAK_Pometia_pinnata_1CN2_D
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_3CN2_Red,EUC_Acacia_parramattensis_3CN2,D,119.00899,0.48373,0.004064651,0.020354787,EUC_Acacia_parramattensis_3CN2_Red_D,EUC_Acacia_parramattensis_3CN2_D
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_1CN2_White,EUC_Acacia_parramattensis_1CN2,D,214.85149,0.27153,0.001263803,0.020249145,EUC_Acacia_parramattensis_1CN2_White_D,EUC_Acacia_parramattensis_1CN2_D
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_4CN2_White,DRO_Argyrodendron_peralatum_4CN2,B,887.48597,21.49816,0.024223662,0.020245856,DRO_Argyrodendron_peralatum_4CN2_White_B,DRO_Argyrodendron_peralatum_4CN2_B
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_2CN2_White,EUC_Acacia_parramattensis_2CN2,D,169.51072,0.21158,0.001248181,0.020183748,EUC_Acacia_parramattensis_2CN2_White_D,EUC_Acacia_parramattensis_2CN2_D
SP1,Bursaria_spinosa,EUC,EUC_Bursaria_spinosa_4CN2_Blue,EUC_Bursaria_spinosa_4CN2,D,1.676,0.001,0.000597,0.020014904,EUC_Bursaria_spinosa_4CN2_Blue_D,EUC_Bursaria_spinosa_4CN2_D
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_5CN2_White,DRO_Argyrodendron_peralatum_5CN2,B,819.50973,25.00984,0.030518051,0.019990611,DRO_Argyrodendron_peralatum_5CN2_White_B,DRO_Argyrodendron_peralatum_5CN2_B
SP2,Dysoxylum_sp.,DRO,DRO_Dysoxylum_sp._1CN2_White,DRO_Dysoxylum_sp._1CN2,B,996.479,30.16284,0.030269419,0.019696418,DRO_Dysoxylum_sp._1CN2_White_B,DRO_Dysoxylum_sp._1CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_5CN2_Red,DRO_Argyrodendron_peralatum_5CN2,D,502.068,36.735,0.07316738,0.019565072,DRO_Argyrodendron_peralatum_5CN2_Red_D,DRO_Argyrodendron_peralatum_5CN2_D
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_3CN2_Blue,TOM_Betula_maximowicziana_3CN2,D,58.7655,5.563,0.094664386,0.01953161,TOM_Betula_maximowicziana_3CN2_Blue_D,TOM_Betula_maximowicziana_3CN2_D
